Timestamp,Presentation was well organized,Speaker spoke clearly and was easy to understand.,Presenter was enthusiastic about the topic.,I learned something new today,What was something new you learned from this presentation that you didn't know before?,What worked well for the presentation/presenter?,Suggestions for improvement. What are some changes would you advise the presenter to make their presentation more effective?,Additional comments for the speaker
11/13/2019 15:09:28,5,5,5,5,I learned a lot about data analytics in terms of scoring efficiency in the NBA and how the revolution of the 3 point shot has changed the way basketball has been played and will continue to effect how teams shoot in the future.,The presenter was very well informed on his topic and showed numerous examples on how technology effects the way basketball in played now and also spoke very eloquently and broke down the plays very well.,I didn't really think there was any points to improve upon because the presentation was very information and very substantial in terms of its data and application to the topic. If anything he could've applied analytics to more sports.,"Greatest presentation in the class so far, no cap. Thoroughly enjoyed it."
11/13/2019 15:09:41,5,5,5,5,"
NBA Analytics Movement. The two important to the NBA history. The differences between before the day and now a day. The role of NBA which I didn’t know about. Lot of information of analytics as the NBA team. Some photo and video to show how NBA player to play. 
","
NBA Analytics Movement. The two important to the NBA history. The differences between before the day and now a day. The role of NBA which I didn’t know about. Lot of information of analytics as the NBA team. Some photo and video to show how NBA player to play. 
","
NBA Analytics Movement. The two important to the NBA history. The differences between before the day and now a day. The role of NBA which I didn’t know about. Lot of information of analytics as the NBA team. Some photo and video to show how NBA player to play. 
",n/a
11/13/2019 15:11:14,5,4,5,5,"Matthew did a presentation on NBA analytics and I thought it was very interesting because he chose a topic that I do not know anything about, Basketball, this presentation taught me a bit about the rules and how when I watch a game with a group of people I can now pretend I know a bit about it. I never knew how technology could be incorporated into sports, but now I know a bit about second spectrum.","The presenter chose a very different type of topic where he explained the real life application of technologies such as the Second Spectrum, which is the official video tracking technology provider for the NBA and the technique that Second Spectrum uses identifies and augments data extracted from the video to generate insights and visualize new types of stats such as Quantified Shot Quality (qSQ) and Quantified Shooter Impact (qSI) so the context produced can be used for storytelling.","I believe that the presenter did an amazing job and I learned a lot from the presentation. The only thing that would had made this presentation even better would be if the presenter had spoken a bit clearer, but overall an interesting presentation. ",
11/13/2019 15:14:22,3,3,3,3,"In the NBA, the 3- point score is very low in 1979. The middle side of the ring under the basket is easier to get 3 points. There is some technology that collected data from the game. Thus, it could calculate where is the best place to shoot 3 points.",He show us the history  of NBA. And he demonstrated the video that how the software calculate the chance of each player would shoot. He explained clear and it is easy to understand.                            ,The power point can add more information about the history of NBA. He can add more comment of what he know. And he can introduced more rule of NBA because some people didn't watch basketball game before. ,
11/14/2019 18:52:25,3,3,5,5,Topic was NBA Analytics. He talked about the important things about NBA history. Presenter mentioned the 3 point and 2 point rule. Back then there is no 3 point line. I learnt when you shoot from behind the 3 point line it worth more than 2 point line.,The part where he talked about box score was interesting. Because they evaluate players by looking their box score. It shows how well player play during the game. He also talked how they got evaluated by using the technology right now. It is easy to see how efficient is the player in that play with technology.,He used graphs and statistic and pictures to explain his point but personally I had no idea and interest to NBA. With technology they can seethe players on the game how good or bad they were. I wish he has more explanation about technology since ppl in the class has interest to technology.,
11/14/2019 19:21:09,5,4,5,4,I learned that the National Basketball Association use a box scoring system to determine how well a player performs. I have also learned that the Houston Rockets team was known for their best offensive tactics because of their heavy focus on three pointers and dunks.,"Mathew managed to display a picture of a basketball field for the audience who have no knowledge on it, as he pointed out where the three point lines are. He also showed a technology that many NBA teams use to determine the probabilities of scoring points based on each player's position.","Mathew should explain what some of the important categories in the box scoring system means. I know there are too many to go over, but the important ones should be enough for the audience to understand what each term means.",
11/18/2019 15:15:56,4,4,4,3,"I understand that the current development of technology is not only the convenience of the Internet.The development of science and technology at the same time led to the development of many different forms of industry.Technology can effectively improve the systematic analysis and improvement of NBA players.The different use of the data gives a detailed analysis of the data, which has a significant help for the players to improve themselves.","The presenter used the NBA as an example of Internet technology to effectively show how technology can help these industries.This is good for students to expand the use of technology thinking.At the same time, the detailed development history and data analysis will help students understand how the data analysis brought by technology works in these industries.","Presenters need less analysis of NBA history.These are just to highlight the results of the use of technology.Therefore, the history of the non-technological era needs only a brief introduction, not a lot of detailed information.At the same time, presenters can look for examples of other technologies being used in the NBA, rather than focusing on the use of data analysis.",
11/18/2019 20:00:18,4,4,4,4,"I learn some of NBA analytics movement for the point of basic box score for the basketball, and some of rise of pointers throughout NBA history of the score of each basketball player to got point in each game.","Presenter show a lot of details for the NBA history and the score for each basketball player to get the point, and show some of James harden shot chart and Michael Jordan shot chart of the basketball.","Presenter should be provide a little more detail about the NBA player to got the score in each game, and should be give more background image and video to show the NBA player to got score in each game.",
11/22/2019 15:40:16,5,5,5,5,"I learned a lot from Mathew's presentation. I learned about history, improvements and how data was gathering throughout NBA history. It was really nice to see how nowadays technologies are showing percentages of chances of players to make a proper shot.","I would say that was the best presentation I ever seen. Because Mathew had introduction, main part and conclusion in his presentation. And each part of it was very well supported by slides with explanations and videos.",I would suggest to Mathew to keep doing that because it was really nice and worthy presentation. I might suggest to talk a little bit louder to show your enthusiastic. But overall it was very very nice!,
11/22/2019 21:45:59,5,5,5,5,The presenter tried to describe us the NBA analytics movement. For me it was a completely unknown ground so most of the stuff described was completely new to me. I was surprised to find out how the technology influenced over the years the sport industry and specifically the NBA.,The presenter seemed genuinely passionate about the topic and described his point very well while drawing a good picture of how the sport industry is affected by AI and what we can expect in the near future.,"Most of the presentation was very interesting to watch however I would advice the presenter to use less tables and more charts while trying to showcase statistics. Other than that, I can't think of any other suggestions to make this presentation more effective.
",Interesting topic and good presentation. Thank you!
11/24/2019 16:05:45,5,5,5,5,"History of NBA, shot clock used to be non existent and allow teams to hold the ball and wait out the rest of the game. Shot clock increased the amount of points able to be scored per game. Box score explained!","Good use of showing the court to explain points and how they are accrued. interesting topic, lots of information i didn't previously know about basketball and rules. good explanation of major statistics people use to determine how well a specific player plays during a game.",Great presentation! lots of information with useful slides. cant think of many ways to improve presentation besides showing clips of games of low scoring games and how they changed the court and rules to incentivize baskets through the years but not necessary. ,Interesting and well done presentation!
